1,191,Redvenom.Co.Uk,RedVenom.co.uk,3:03:54,6:13,7:09,6:35,6:41,24:45,23:15,20:53,21:03,16:44,18:13,15:49,16:33
2,21,Loughborough Triathlon,Loughborough Triathlon RC,3:07:29,6:27,7:04,6:30,6:27,23:04,25:05,21:27,20:54,17:49,18:53,16:52,16:56
3,242,Torq,TORQ,3:12:18,7:00,8:32,6:42,8:48,23:10,23:46,21:01,22:33,17:53,18:17,17:19,17:16
4,153,Rock Racing Team Uk,Rock Racing Team UK,3:14:18,6:04,6:56,9:12,9:12,12:34,8:56,22:00,44:43,17:13,18:05,17:19,17:16
5,190,Corley Cycles Mixed Triathlon Team,Corley Cycles Triathlon Team,3:14:41,6:51,8:12,11:10,8:05,22:39,20:37,25:22,20:41,17:21,17:52,18:49,17:01
6,36,Tri2o A,Tri2o,3:18:58,5:57,8:03,8:38,9:02,23:22,23:35,21:59,21:37,17:29,20:15,20:11,18:49
7,113,Lbt Team One,LBT,3:19:20,8:12,8:13,8:58,6:49,23:14,22:19,22:48,22:09,19:47,19:42,18:46,18:22
8,189,Actc F Fit,ARRAGONS CUMBRIAN TRIATHLON CLUB,3:19:55,6:48,9:09,7:38,7:13,22:28,26:47,24:07,22:56,16:20,21:35,18:47,16:06
9,192,Tri Training Harder,Tri Training Harder,3:20:16,7:56,9:30,7:01,6:54,25:13,23:19,25:09,21:24,20:14,16:56,18:53,17:46
10,186,Team Bath Dinosaur,University Of Bath,3:21:32,6:17,7:27,7:22,9:58,22:11,23:24,23:14,24:54,16:01,18:32,17:24,24:47
11,207,Tri Anglia,Tri Anglia,3:23:30,7:37,8:28,8:40,8:22,23:56,24:00,23:06,21:40,19:06,40:12,17:24,24:47
12,33,Tvt Mixed,Thames Valley Triathletes (TVT),3:23:36,6:37,8:29,8:14,7:52,23:10,25:06,22:21,23:16,19:46,20:35,19:03,19:06
13,17,Lbt Team Three,LBT,3:25:11,7:41,8:58,8:34,8:29,24:52,24:13,24:27,21:31,17:56,18:54,20:43,18:52
14,116,Lbt Team Two,LBT,3:25:37,8:09,8:27,8:26,8:33,23:51,26:56,22:45,22:15,17:58,19:41,20:27,18:08
15,4,Army B,Army Tri,3:26:09,6:58,8:47,7:27,7:55,22:25,25:14,26:00,22:48,16:39,21:22,22:31,18:02
16,177,Baywatch,TRI SPORT EPPING,3:26:15,8:09,8:06,8:44,8:23,23:19,23:25,24:10,23:20,20:03,21:23,19:41,17:31
17,197,Compressport/Z3rod,Compressport/z3rod,3:26:20,7:15,8:43,11:03,6:54,22:14,24:02,25:46,21:20,17:13,22:40,21:31,17:38
18,208,Pompey Tri,Portsmouth Triathletes,3:26:27,8:25,7:56,9:09,6:56,23:05,24:58,24:54,21:09,17:06,21:30,22:53,18:26
19,159,Stratford Hamlets,STRATFORD AC,3:26:37,8:13,8:22,8:42,8:23,23:20,24:16,24:36,21:20,19:21,18:37,21:55,19:31
20,129,Louth Triathlon Elite 4,Louth Triathlon Club,3:27:03,7:24,7:43,8:17,8:22,25:10,23:01,26:53,21:55,17:54,19:22,22:28,18:33
21,109,Knights Of The Round Bellies,Knights Of The Round Bellies,3:28:44,7:28,9:12,8:14,7:05,28:36,24:27,25:20,23:01,19:32,18:26,18:51,18:31
22,146,Rgactive Race Team 1,Rgactive Race Team 1,3:29:16,6:58,9:41,8:57,9:05,22:09,25:24,24:44,21:26,17:25,24:13,20:57,18:16
23,40,Tribal Tri-Anglia,Tri-Anglia,3:30:14,6:57,8:49,9:26,7:45,24:20,26:56,22:53,21:12,21:36,20:54,19:39,19:46
24,193,The Speedy Northerners,Tri4u Coaching,3:31:46,6:26,7:38,8:35,7:07,22:35,23:25,28:30,21:34,17:07,21:44,28:10,18:54
25,172,Tfn Team Z,TFN Tri Club,3:32:12,8:03,8:17,7:50,7:44,25:04,23:09,23:34,24:57,19:16,21:25,21:31,21:21
26,147,Rgactive Race Team 2,Rgactive Race Team 2,3:33:01,7:49,9:20,8:31,8:43,22:29,23:33,26:15,22:41,18:37,21:23,22:43,20:56
27,106,Team 'Is It Over Already?',Hot Chilli Tri,3:33:08,7:30,10:04,8:31,10:26,23:48,24:50,23:04,24:34,18:19,20:57,19:14,21:50
